date_ref,date_forecast,ana_code,mean_precipitation
2022-07-04,2022-07-17,PSATITP,0.5555555576251613
2022-07-04,2022-07-17,PSATJIRA,0.9180722935910682
2022-07-04,2022-07-17,PSATLAJ,0.0
2022-07-04,2022-07-17,PSATPIME,0.25200000325838723
2022-07-04,2022-07-18,PSATCNV,2.9400000095367433
2022-07-04,2022-07-18,PSATFUR,0.028571428997176036
2022-07-04,2022-07-18,PSATFZA,3.899999976158142
2022-07-04,2022-07-18,PSATIMBR,0.0
2022-07-04,2022-07-18,PSATITP,0.9888888912068473
2022-07-04,2022-07-18,PSATJIRA,1.0493975842753092
2022-07-04,2022-07-18,PSATLAJ,0.0
2022-07-04,2022-07-18,PSATPIME,0.7826666702826818
2022-07-04,2022-07-19,PSATCNV,4.580000019073486
2022-07-04,2022-07-19,PSATFUR,0.028571428997176032
2022-07-04,2022-07-19,PSATFZA,3.799999952316284
2022-07-04,2022-07-19,PSATIMBR,0.0
2022-07-04,2022-07-19,PSATITP,1.5888888835906982
2022-07-04,2022-07-19,PSATJIRA,1.1698795211422877
2022-07-04,2022-07-19,PSATLAJ,0.0
2022-07-04,2022-07-19,PSATPIME,1.0999999982118605
2022-07-05,2022-07-06,PSATCNV,0.0
2022-07-05,2022-07-06,PSATFUR,0.0
2022-07-05,2022-07-06,PSATFZA,0.0
2022-07-05,2022-07-06,PSATIMBR,0.0
2022-07-05,2022-07-06,PSATITP,0.0
2022-07-05,2022-07-06,PSATJIRA,0.05060241012329078
2022-07-05,2022-07-06,PSATLAJ,0.0
2022-07-05,2022-07-06,PSATPIME,0.020000000298023218
2022-07-05,2022-07-07,PSATCNV,0.0
2022-07-05,2022-07-07,PSATFUR,0.0
2022-07-05,2022-07-07,PSATFZA,0.0
2022-07-05,2022-07-07,PSATIMBR,0.0
2022-07-05,2022-07-07,PSATITP,0.0
2022-07-05,2022-07-07,PSATJIRA,0.12650602346802334
2022-07-05,2022-07-07,PSATLAJ,0.0
2022-07-05,2022-07-07,PSATPIME,0.08933333466450373
2022-07-05,2022-07-08,PSATCNV,0.0
2022-07-05,2022-07-08,PSATFUR,0.0
2022-07-05,2022-07-08,PSATFZA,0.0
2022-07-05,2022-07-08,PSATIMBR,0.0
2022-07-05,2022-07-08,PSATITP,0.0
2022-07-05,2022-07-08,PSATJIRA,0.43493975878479973
2022-07-05,2022-07-08,PSATLAJ,0.0
2022-07-05,2022-07-08,PSATPIME,0.38266667077938726
2022-07-05,2022-07-09,PSATCNV,0.0
2022-07-05,2022-07-09,PSATFUR,0.0
2022-07-05,2022-07-09,PSATFZA,0.0
2022-07-05,2022-07-09,PSATIMBR,0.0
2022-07-05,2022-07-09,PSATITP,0.0
2022-07-05,2022-07-09,PSATJIRA,0.6951807195163636
2022-07-05,2022-07-09,PSATLAJ,0.0
2022-07-05,2022-07-09,PSATPIME,1.4586666584014891
2022-07-05,2022-07-10,PSATCNV,0.0
2022-07-05,2022-07-10,PSATFUR,0.0
2022-07-05,2022-07-10,PSATFZA,0.0
2022-07-05,2022-07-10,PSATIMBR,0.0
2022-07-05,2022-07-10,PSATITP,0.0
2022-07-05,2022-07-10,PSATJIRA,0.19518072346606888
2022-07-05,2022-07-10,PSATLAJ,0.0
2022-07-05,2022-07-10,PSATPIME,1.3999999978144961
2022-07-05,2022-07-11,PSATCNV,0.6799999952316285
2022-07-05,2022-07-11,PSATFUR,0.0
2022-07-05,2022-07-11,PSATFZA,0.20000000670552254
2022-07-05,2022-07-11,PSATIMBR,0.0
2022-07-05,2022-07-11,PSATITP,0.22222222553359144
2022-07-05,2022-07-11,PSATJIRA,0.26626505954078866
2022-07-05,2022-07-11,PSATLAJ,0.0
2022-07-05,2022-07-11,PSATPIME,0.756000003417333
2022-07-05,2022-07-12,PSATCNV,1.640000009536743
2022-07-05,2022-07-12,PSATFUR,0.0
2022-07-05,2022-07-12,PSATFZA,0.699999988079071
2022-07-05,2022-07-12,PSATIMBR,0.0
2022-07-05,2022-07-12,PSATITP,0.8611111144224802
2022-07-05,2022-07-12,PSATJIRA,1.4506024091717709
2022-07-05,2022-07-12,PSATLAJ,0.0
2022-07-05,2022-07-12,PSATPIME,0.5320000028610231
2022-07-05,2022-07-13,PSATCNV,7.31200008392334
2022-07-05,2022-07-13,PSATFUR,0.0
2022-07-05,2022-07-13,PSATFZA,3.5299999713897705
2022-07-05,2022-07-13,PSATIMBR,0.0
2022-07-05,2022-07-13,PSATITP,0.9266666637526616
2022-07-05,2022-07-13,PSATJIRA,2.3309638619602446
