date_ref,ana_code,mean_precipitation
2000-06-18,PSATIMBR,0.0
2000-06-18,PSATITP,17.58924485125859
2000-06-18,PSATJIRA,7.8285377358490535
2000-06-18,PSATLAJ,0.0
2000-06-18,PSATPIME,3.794168900804291
2000-06-19,PSATCNV,15.496124031007756
2000-06-19,PSATFUR,0.0
2000-06-19,PSATFZA,29.745370370370367
2000-06-19,PSATIMBR,0.0
2000-06-19,PSATITP,17.49771167048056
2000-06-19,PSATJIRA,1.506721698113206
2000-06-19,PSATLAJ,0.0
2000-06-19,PSATPIME,4.166219839142092
2000-06-20,PSATCNV,4.926356589147287
2000-06-20,PSATFUR,0.0
2000-06-20,PSATFZA,6.898148148148148
2000-06-20,PSATIMBR,0.0
2000-06-20,PSATITP,6.488558352402748
2000-06-20,PSATJIRA,0.14634433962264148
2000-06-20,PSATLAJ,0.0
2000-06-20,PSATPIME,4.022386058981227
2000-06-21,PSATCNV,0.5775193798449612
2000-06-21,PSATFUR,0.005813953488372095
2000-06-21,PSATFZA,3.337962962962963
2000-06-21,PSATIMBR,0.0
2000-06-21,PSATITP,3.5543478260869565
2000-06-21,PSATJIRA,0.08643867924528306
2000-06-21,PSATLAJ,0.0
2000-06-21,PSATPIME,2.7516085790884715
2000-06-22,PSATCNV,0.02810077519379845
2000-06-22,PSATFUR,0.004360465116279071
2000-06-22,PSATFZA,0.2638888888888889
2000-06-22,PSATIMBR,0.03236040609137057
2000-06-22,PSATITP,0.05692219679633868
2000-06-22,PSATJIRA,0.036615566037735844
2000-06-22,PSATLAJ,0.0010208711433756811
2000-06-22,PSATPIME,1.7117962466487926
2000-06-23,PSATCNV,0.0
2000-06-23,PSATFUR,0.0014534883720930235
2000-06-23,PSATFZA,0.0
2000-06-23,PSATIMBR,0.0
2000-06-23,PSATITP,0.0011441647597254005
2000-06-23,PSATJIRA,0.0
2000-06-23,PSATLAJ,0.0
2000-06-23,PSATPIME,1.4123324396782846
2000-06-24,PSATCNV,0.0
2000-06-24,PSATFUR,0.007994186046511626
2000-06-24,PSATFZA,0.0
2000-06-24,PSATIMBR,0.0
2000-06-24,PSATITP,0.0
2000-06-24,PSATJIRA,0.04675707547169818
2000-06-24,PSATLAJ,0.040040834845735035
2000-06-24,PSATPIME,2.99671581769437
2000-06-25,PSATCNV,0.557170542635659
2000-06-25,PSATFUR,0.4825581395348837
2000-06-25,PSATFZA,0.12731481481481477
2000-06-25,PSATIMBR,0.0
2000-06-25,PSATITP,0.07608695652173914
2000-06-25,PSATJIRA,0.09127358490566037
2000-06-25,PSATLAJ,0.0
2000-06-25,PSATPIME,0.7987935656836459
2000-06-26,PSATCNV,13.968992248062017
2000-06-26,PSATFUR,0.0
2000-06-26,PSATFZA,3.592592592592593
2000-06-26,PSATIMBR,0.0
2000-06-26,PSATITP,1.597254004576659
2000-06-26,PSATJIRA,0.13974056603773574
2000-06-26,PSATLAJ,0.0
2000-06-26,PSATPIME,0.25643431635388714
2000-06-27,PSATCNV,17.67054263565891
2000-06-27,PSATFUR,0.0014534883720930232
2000-06-27,PSATFZA,14.03240740740741
2000-06-27,PSATIMBR,0.0
2000-06-27,PSATITP,8.27745995423341
2000-06-27,PSATJIRA,0.06886792452830189
2000-06-27,PSATLAJ,0.0
2000-06-27,PSATPIME,0.5164879356568359
2000-06-28,PSATCNV,0.4476744186046512
2000-06-28,PSATFUR,0.6693313953488369
2000-06-28,PSATFZA,0.3680555555555555
2000-06-28,PSATIMBR,0.0
2000-06-28,PSATITP,0.4473684210526316
2000-06-28,PSATJIRA,0.4924528301886793
2000-06-28,PSATLAJ,0.0
2000-06-28,PSATPIME,0.148994638069705
2000-06-29,PSATCNV,0.17054263565891473
2000-06-29,PSATFUR,0.0
2000-06-29,PSATFZA,0.3703703703703703
2000-06-29,PSATIMBR,0.0
2000-06-29,PSATITP,1.6945080091533176
2000-06-29,PSATJIRA,0.3810141509433961
2000-06-29,PSATLAJ,0.0
2000-06-29,PSATPIME,1.7863270777479896
2000-06-30,PSATCNV,18.773255813953487
2000-06-30,PSATFUR,0.0
2000-06-30,PSATFZA,17.898148148148145
2000-06-30,PSATIMBR,0.0
2000-06-30,PSATITP,19.921052631578938
2000-06-30,PSATJIRA,0.7129716981132077
2000-06-30,PSATLAJ,0.0
2000-06-30,PSATPIME,1.1048257372654153
2000-07-01,PSATCNV,1.0145348837209303
2000-07-01,PSATFUR,0.0
2000-07-01,PSATFZA,0.4930555555555555
2000-07-01,PSATIMBR,0.0
2000-07-01,PSATITP,1.2334096109839816
2000-07-01,PSATJIRA,0.8284198113207547
2000-07-01,PSATLAJ,0.0
2000-07-01,PSATPIME,0.43659517426273453
2000-07-02,PSATCNV,1.8313953488372094
2000-07-02,PSATFUR,0.0
2000-07-02,PSATFZA,0.24074074074074076
2000-07-02,PSATIMBR,0.0
2000-07-02,PSATITP,0.011441647597254002
2000-07-02,PSATJIRA,0.814622641509434
2000-07-02,PSATLAJ,0.0
2000-07-02,PSATPIME,2.8091152815013403
2000-07-03,PSATCNV,12.817829457364342
2000-07-03,PSATFUR,0.04796511627906976
2000-07-03,PSATFZA,12.261574074074074
2000-07-03,PSATIMBR,0.06979695431472081
2000-07-03,PSATITP,10.927345537757436
2000-07-03,PSATJIRA,0.8344929245283017
2000-07-03,PSATLAJ,0.0
2000-07-03,PSATPIME,1.1283512064343177
2000-07-04,PSATCNV,0.0
2000-07-04,PSATFUR,0.0
2000-07-04,PSATFZA,0.39351851851851855
2000-07-04,PSATIMBR,0.0
2000-07-04,PSATITP,0.003432494279176204
2000-07-04,PSATJIRA,5.758608490566037
2000-07-04,PSATLAJ,0.0
2000-07-04,PSATPIME,2.162600536193028
2000-07-05,PSATCNV,0.0
2000-07-05,PSATFUR,0.0
2000-07-05,PSATFZA,0.0
2000-07-05,PSATIMBR,0.0
2000-07-05,PSATITP,0.011441647597254013
2000-07-05,PSATJIRA,0.024292452830188684
2000-07-05,PSATLAJ,0.0
2000-07-05,PSATPIME,0.733378016085791
2000-07-06,PSATCNV,0.0009689922480620157
2000-07-06,PSATFUR,0.0021802325581395353
2000-07-06,PSATFZA,0.004629629629629629
2000-07-06,PSATIMBR,0.0
